이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
현대 아반떼MD,현대,아반떼,699,1591,2011,은색,75603,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 더뉴아반떼MD,현대,아반떼,849,1591,2015,흰색,116294,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 K5,기아,K5,690,1998,2011,흰색,148677,자동,휘발유,중형차,0,후륜,0,0,국산차
현대 아반떼MD,현대,아반떼,810,1591,2013,흰색,66053,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 아반떼MD,현대,아반떼,799,1591,2013,다크그레이색,74417,자동,휘발유,준중형차,0,전륜,0,0,국산차
르노삼성 뉴SM3(2세대),르노삼성,SM3,200,1596,2005,흰색,99030,자동,휘발유,준중형차,0,전륜,1,0,국산차
현대 그랜드스타렉스,현대,스타렉스,1190,2497,2016,검정색,171209,자동,경유,승합차,0,후륜,0,0,국산차
쌍용 뷰티풀코란도,쌍용,코란도,1890,1497,2021,다크그레이색,9268,자동,휘발유,SUV,0,후륜,0,0,국산차
벤츠 뉴E클래스,벤츠,E클래스,2740,2996,2015,흰색,63813,자동,휘발유,중형차,0,후륜,0,0,외제차
현대 올뉴투싼(TL),현대,투싼,1350,1685,2017,흰색,139163,자동,경유,SUV,0,전륜,0,0,국산차
쉐보레/대우 크루즈,쉐보레,크루즈,290,1796,2013,검정색,170000,자동,휘발유,준중형차,0,후륜,1,0,국산차
기아 레이,기아,레이,620,998,2013,민트색,164145,자동,휘발유,SUV,0,전륜,0,0,국산차
제네시스 EQ900,제네시스,제네시스,4880,3778,2018,다크그레이색,74000,자동,휘발유,대형차,0,후륜,0,0,국산차
제네시스 EQ900,제네시스,제네시스,2960,3778,2016,검정색,174601,자동,휘발유,대형차,0,후륜,1,0,국산차
기아 더K9(2세대),기아,K9,4120,3342,2019,기타색,101105,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더K9(2세대),기아,K9,4870,3342,2020,흰색,47676,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더K9(2세대),기아,K9,4150,3778,2019,검정색,46936,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 포터2,현대,포터,610,2497,2010,0색,73584,수동,경유,화물차,0,후륜,1,0,국산차
현대 그랜드스타렉스,현대,스타렉스,399,2497,2009,은색,309075,자동,경유,승합차,0,후륜,0,0,국산차
기아 더뉴쏘렌토,기아,쏘렌토,1550,1995,2018,은색,147068,자동,경유,SUV,0,후륜,0,0,국산차
벤츠 CLS클래스(3세대),벤츠,S클래스,7590,2925,2019,회색,22275,자동,경유,대형차,0,후륜,0,0,외제차
링컨 MKC,링컨,M,2240,1999,2017,흰색,61542,자동,휘발유,0,0,후륜,0,0,외제차
쌍용 렉스턴스포츠,쌍용,렉스턴,2580,2157,2021,검정색,42000,자동,경유,SUV,0,후륜,0,0,국산차
제네시스 G70,제네시스,제네시스,2950,3342,2018,흰색,93303,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 싼타페TM,현대,싼타페,2440,1995,2019,다크그레이색,122728,자동,경유,SUV,0,전륜,0,0,국산차
현대 그랜저IG,현대,그랜저,2330,2999,2019,검정색,81618,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레/대우 라세티프리미어,쉐보레,라세티,270,1796,2010,다크그레이색,131541,자동,휘발유,0,0,전륜,0,0,국산차
르노삼성 뉴SM5플래티넘,르노삼성,SM5,320,1998,2013,검정색,215212,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 올뉴모닝,기아,모닝,570,998,1999,흰색,121660,자동,휘발유,경차,0,전륜,0,0,국산차
폭스바겐 골프(6세대),폭스바겐,골프,699,1968,2010,빨강색,91960,자동,경유,준중형차,0,전륜,0,0,외제차
기아 올뉴모닝,기아,모닝,570,998,1999,흰색,121660,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레/대우 캡티바,쉐보레,캡티바,760,1998,2014,쥐색,130569,자동,경유,SUV,0,전륜,0,0,국산차
기아 쏘렌토R,기아,쏘렌토,995,1995,2011,흰색,116386,자동,경유,SUV,0,후륜,0,0,국산차
인피니티 G(V36),인피니티,G,1240,3696,2009,흰색,149130,자동,휘발유,0,0,후륜,1,0,외제차
르노삼성 SM5,르노삼성,SM5,110,1838,2005,검정색,122361,자동,휘발유,중형차,0,전륜,1,0,국산차
푸조 3008(1세대),푸조,3008,640,1560,2013,흰색,155243,자동,경유,SUV,0,전륜,0,0,외제차
기아 더뉴모닝,기아,모닝,550,998,2016,진주색,75647,수동,휘발유,경차,0,전륜,0,0,국산차
기아 K5,기아,K5,780,1998,2013,검정색,106176,자동,휘발유,중형차,0,후륜,0,0,국산차
현대 그랜저HG,현대,그랜저,860,2359,2012,검정색,131060,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레/대우 올뉴말리부,쉐보레,말리부,1430,1490,2017,흰색,89910,자동,휘발유,중형차,0,전륜,1,0,국산차
지프 체로키(KL),지프,체로키,1550,1956,2015,검정색,112813,자동,경유,SUV,0,전륜,0,0,외제차
기아 더뉴K7,기아,K7,769,2999,2013,검정색,186530,자동,LPG,대형차,0,전륜,0,0,국산차
현대 그랜저IG,현대,그랜저,1639,2359,2017,검정색,111054,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 i30(PD),현대,i30,1079,1353,2017,흰색,142331,자동,휘발유,준중형차,0,후륜,0,0,국산차
현대 맥스크루즈,현대,크루즈,1490,2199,2014,쥐색,152494,자동,경유,준중형차,0,후륜,0,0,국산차
기아 더뉴카니발,기아,카니발,1799,2199,2019,은색,100224,자동,경유,RV,0,후륜,0,0,국산차
아우디 뉴A8,아우디,A8,1429,2995,2011,검정색,159868,자동,휘발유,대형차,0,후륜,0,0,외제차
기아 더뉴카니발,기아,카니발,3320,2199,2019,검정색,80000,자동,경유,RV,0,후륜,0,0,국산차
기아 포르테 해치백,기아,포르테,499,1591,2011,흰색,140629,자동,휘발유,준중형차,0,전륜,0,0,국산차
쉐보레/대우 말리부,쉐보레,말리부,619,1998,2012,검정색,114235,자동,휘발유,중형차,0,전륜,1,0,국산차
현대 제네시스쿠페,현대,제네시스,419,1998,2009,흰색,136285,자동,휘발유,대형차,0,후륜,0,0,국산차
쌍용 코란도투리스모,쌍용,코란도,629,1998,2015,꽃자주색,178137,자동,경유,SUV,0,후륜,1,0,국산차
크라이슬러 300C(2세대),크라이슬러,300C,749,3604,2011,다크그레이색,98078,자동,휘발유,0,0,후륜,0,0,외제차
현대 베라크루즈,현대,크루즈,489,2959,2007,검정색,186801,자동,경유,준중형차,0,후륜,0,0,국산차
쉐보레/대우 크루즈,쉐보레,크루즈,339,1598,2011,흰색,110904,자동,휘발유,준중형차,0,후륜,0,0,국산차
현대 그랜저IG,현대,그랜저,1469,2999,2017,검정색,181307,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 K5 하이브리드 3세대,기아,K5,3090,1999,2020,흰색,45748,자동,하이브리드,중형차,0,후륜,0,0,국산차
현대 그랜저HG,현대,그랜저,1129,2199,2016,흰색,107389,자동,경유,대형차,0,전륜,1,0,국산차
기아 스포티지R,기아,스포티지,769,1995,2011,검정색,158748,자동,경유,SUV,0,전륜,0,0,국산차
기아 더프레스티지K7,기아,K7,920,2999,2012,흰색,160238,자동,LPG,대형차,0,전륜,0,0,국산차
현대 포터2,현대,포터,1830,2497,2019,흰색,44131,자동,경유,화물차,0,후륜,0,0,국산차
토요타 캠리(7세대),토요타,캠리,1850,2494,2016,검정색,83908,자동,하이브리드,중형차,0,전륜,0,0,외제차
제네시스 EQ900,제네시스,제네시스,4240,3778,2018,검정색,107786,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더K9(2세대),기아,K9,3860,3342,2019,검정색,108825,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 더K9(2세대),기아,K9,3750,3342,2019,검정색,102195,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 그랜저HG,현대,그랜저,1390,2999,2014,흰색,133434,자동,LPG,대형차,0,전륜,0,0,국산차
기아 쏘울,기아,쏘울,630,1591,2012,진주색,66023,자동,휘발유,준중형차,0,후륜,1,0,국산차
현대 그랜저HG,현대,그랜저,680,2359,2016,검정색,218282,자동,휘발유,대형차,0,전륜,1,0,국산차
기아 더K9(2세대),기아,K9,4350,3342,2019,다크그레이색,85722,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 올뉴카니발,기아,카니발,1940,2199,2015,흰색,123186,자동,경유,RV,0,후륜,1,0,국산차
쉐보레/대우 캡티바,쉐보레,캡티바,760,1998,2014,쥐색,130569,자동,경유,SUV,0,전륜,0,0,국산차
기아 쏘렌토R,기아,쏘렌토,995,1995,2011,흰색,116386,자동,경유,SUV,0,후륜,0,0,국산차
인피니티 G(V36),인피니티,G,1240,3696,2009,흰색,149130,자동,휘발유,0,0,후륜,1,0,외제차
르노삼성 SM5,르노삼성,SM5,110,1838,2005,검정색,122361,자동,휘발유,중형차,0,전륜,1,0,국산차
푸조 3008(1세대),푸조,3008,640,1560,2013,흰색,155243,자동,경유,SUV,0,전륜,0,0,외제차
기아 더뉴모닝,기아,모닝,550,998,2016,진주색,75647,수동,휘발유,경차,0,전륜,0,0,국산차
기아 K5,기아,K5,780,1998,2013,검정색,106176,자동,휘발유,중형차,0,후륜,0,0,국산차
현대 그랜저HG,현대,그랜저,860,2359,2012,검정색,131060,자동,휘발유,대형차,0,전륜,0,0,국산차
쉐보레/대우 올뉴말리부,쉐보레,말리부,1430,1490,2017,흰색,89910,자동,휘발유,중형차,0,전륜,1,0,국산차
지프 체로키(KL),지프,체로키,1550,1956,2015,검정색,112813,자동,경유,SUV,0,전륜,0,0,외제차
기아 올뉴K3,기아,K3,1999,1591,2019,검정색,40914,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 더뉴아반떼MD,현대,아반떼,920,1591,2015,검정색,95883,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 아슬란,현대,아슬란,1190,3342,2016,검정색,177031,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 i30,현대,i30,550,1591,2009,회색,52533,자동,휘발유,준중형차,0,후륜,0,0,국산차
현대 아반떼MD,현대,아반떼,689,1591,2011,흰색,60000,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 투싼ix(LM),현대,투싼,730,1995,2012,흰색,155681,자동,경유,SUV,0,전륜,0,0,국산차
아우디 NEW A4,아우디,A4,1020,2000,2010,회색,73747,자동,휘발유,준중형차,0,전륜,0,0,외제차
현대 에쿠스(신형),현대,에쿠스,1290,3778,2012,검정색,175505,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 봉고3,기아,봉고,1690,2497,2018,청색,16257,자동,경유,화물차,0,후륜,0,0,국산차
현대 제네시스DH,현대,제네시스,1290,3342,2015,회색,227400,자동,휘발유,대형차,0,후륜,0,0,국산차
벤츠 S클래스(W221),벤츠,S클래스,2290,6000,2010,검정색,111080,자동,휘발유,대형차,0,후륜,0,0,외제차
기아 더K9(2세대),기아,K9,3090,3778,2019,검정색,129912,자동,휘발유,대형차,0,후륜,1,0,국산차
현대 아반떼HD,현대,아반떼,270,1582,2009,흰색,148298,자동,경유,준중형차,0,전륜,0,0,국산차
르노삼성 뉴SM5(신형),르노삼성,SM5,249,1998,2011,회색,170006,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 봉고3,기아,봉고,830,2957,2014,청색,91166,수동,경유,화물차,0,후륜,0,0,국산차
BMW 5시리즈(G30),BMW,5시리즈,3479,1998,2018,검정색,62992,자동,휘발유,중형차,0,후륜,1,0,외제차
현대 LF쏘나타,현대,쏘나타,1550,1999,2017,은색,52016,자동,LPG,중형차,0,전륜,0,0,국산차
현대 그랜드스타렉스,현대,스타렉스,3890,2497,2018,흰색,52043,자동,경유,승합차,0,후륜,0,0,국산차
현대 쏘나타DN8,현대,쏘나타,2550,1999,2021,검정색,4736,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 올뉴K3,기아,K3,1340,1598,2019,흰색,54350,자동,휘발유,준중형차,0,전륜,0,0,국산차
아우디 뉴A5,아우디,A5,1650,1968,2015,흰색,124222,자동,경유,중형차,0,4륜,0,0,외제차
벤츠 뉴E클래스,벤츠,E클래스,2130,2143,2015,흰색,103640,자동,경유,중형차,0,후륜,0,0,외제차
아우디 뉴A5,아우디,A5,1860,1968,2015,흰색,99100,자동,경유,중형차,0,4륜,0,0,외제차
아우디 뉴A6,아우디,A6,2450,1968,2016,흰색,84598,자동,경유,중형차,0,후륜,0,0,외제차
BMW 6시리즈 그란쿠페(F06),BMW,6시리즈,3020,2993,2014,흰색,102014,자동,경유,대형차,0,후륜,0,0,외제차
기아 K5 2세대,기아,K5,1190,1999,2017,흰색,128945,자동,휘발유,중형차,0,후륜,1,0,국산차
현대 더뉴그랜드스타렉스,현대,스타렉스,1750,2497,2019,회색,120155,자동,경유,승합차,0,후륜,0,0,국산차
현대 올뉴투싼(TL),현대,투싼,1270,1685,2017,흰색,165300,자동,경유,SUV,0,전륜,0,0,국산차
쌍용 베리뉴티볼리,쌍용,티볼리,1850,1497,2021,청색투톤,38596,자동,휘발유,SUV,0,후륜,0,0,국산차
기아 셀토스,기아,셀토스,1980,1582,2022,청색,19302,자동,경유,SUV,0,전륜,0,0,국산차
기아 올뉴카니발,기아,카니발,2890,2199,2016,흰색,77499,자동,경유,RV,0,후륜,0,0,국산차
닛산 알티마,닛산,알티마,560,3500,2010,은색,120472,자동,휘발유,중형차,0,전륜,0,0,외제차
현대 싼타페더프라임,현대,싼타페,1950,1995,2018,흰색,67046,자동,경유,SUV,0,전륜,0,0,국산차
현대 더뉴제네시스쿠페,현대,제네시스,720,1998,2012,빨강색,181714,자동,휘발유,대형차,0,후륜,0,0,국산차
크라이슬러 300C(1세대),크라이슬러,300C,390,2736,2008,은색,147962,자동,휘발유,0,0,후륜,1,0,외제차
기아 쏘울,기아,쏘울,540,1591,2011,흰색,112667,자동,휘발유,준중형차,0,후륜,0,0,국산차
쌍용 체어맨W,쌍용,체어맨,450,3598,2008,검정색,172946,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 i40살룬,현대,i40,900,1999,2012,회색,165708,자동,휘발유,중형차,0,전륜,0,0,국산차
아우디 A6(C8),아우디,A6,5490,1984,2020,흰색,3389,자동,휘발유,중형차,0,후륜,0,0,외제차
기아 포르테,기아,포르테,690,1591,2011,다크그레이색,59191,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더뉴K5 2세대,기아,K5,1150,1999,2019,진주색,177000,자동,휘발유,중형차,0,후륜,1,0,국산차
쌍용 코란도투리스모,쌍용,코란도,630,1998,2014,0색,147084,자동,경유,SUV,0,후륜,1,0,국산차
현대 아반떼HD,현대,아반떼,350,1591,2010,흰색,189909,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 K5 하이브리드,기아,K5,730,1999,2014,검정색,176400,자동,하이브리드,중형차,0,후륜,0,0,국산차
현대 더뉴아반떼AD,현대,아반떼,1630,1598,2020,흰색,29561,자동,휘발유,준중형차,0,전륜,1,0,국산차
쌍용 체어맨W,쌍용,체어맨,780,3199,2013,0색,174026,자동,휘발유,대형차,0,후륜,0,0,국산차
기아 포르테쿱,기아,포르테,450,1591,2011,빨강색,80738,자동,휘발유,준중형차,0,전륜,1,0,국산차
현대 더뉴맥스크루즈,현대,크루즈,1950,2199,2016,검정색,83704,자동,경유,준중형차,0,후륜,0,0,국산차
기아 레이,기아,레이,590,998,2012,민트색,180000,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 올뉴모닝,기아,모닝,550,998,2012,베이지색,44000,자동,휘발유,경차,0,전륜,1,0,국산차
기아 레이,기아,레이,830,998,2012,은색,88000,자동,휘발유,SUV,0,전륜,0,0,국산차
쉐보레/대우 알페온,쉐보레,알페온,450,2997,2012,검정색,203158,자동,휘발유,대형차,0,전륜,1,0,국산차
벤츠 뉴E클래스,벤츠,E클래스,970,2996,2011,은색,159650,자동,휘발유,중형차,0,후륜,0,0,외제차
벤츠 E클래스(W213),벤츠,E클래스,3040,1950,2017,회색,163574,자동,경유,중형차,0,후륜,0,0,외제차
현대 스타렉스밴,현대,스타렉스,340,2972,2003,회색,156138,수동,LPG,승합차,0,후륜,0,0,국산차
현대 싼타페DM,현대,싼타페,1250,1995,2015,검정색,186247,자동,경유,SUV,0,전륜,0,0,국산차
현대 LF쏘나타,현대,쏘나타,1150,1999,2015,검정색,87718,자동,LPG,중형차,0,전륜,0,0,국산차
현대 엑센트(신형),현대,엑센트,430,1591,2011,은색,88866,자동,휘발유,소형차,0,전륜,1,0,국산차
현대 제네시스,현대,제네시스,460,3342,2011,검정색,249788,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 싼타페DM,현대,싼타페,1700,1995,2015,검정색,71797,자동,경유,SUV,0,전륜,0,0,국산차
현대 코나,현대,코나,1790,1591,2018,흰색,21281,자동,휘발유,SUV,0,전륜,1,0,국산차
르노삼성 SM6,르노삼성,SM6,890,1998,2017,다크그레이색,139798,자동,LPG,중형차,0,전륜,0,0,국산차
현대 싼타페더프라임,현대,싼타페,1690,1995,2016,검정색,150462,자동,경유,SUV,0,전륜,0,0,국산차
벤츠 B클래스,벤츠,B클래스,590,0,2011,흰색,150678,자동,휘발유,준중형차,0,전륜,1,0,외제차
현대 포터2,현대,포터,390,2497,2010,흰색,205505,수동,경유,화물차,0,후륜,0,0,국산차
기아 K3,기아,K3,630,1591,2014,흰색,160000,자동,휘발유,준중형차,0,전륜,1,0,국산차
기아 포르테쿱,기아,포르테,399,1998,2010,흰색,132040,수동,휘발유,준중형차,0,전륜,1,0,국산차
아우디 뉴A6,아우디,A6,1750,1968,2016,흰색,163238,자동,경유,중형차,0,후륜,0,0,외제차
기아 올뉴K3,기아,K3,1999,1591,2019,검정색,40914,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 더뉴아반떼MD,현대,아반떼,920,1591,2015,검정색,95883,자동,휘발유,준중형차,0,전륜,0,0,국산차
쌍용 체어맨W,쌍용,체어맨,450,3598,2008,검정색,172946,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 i40살룬,현대,i40,900,1999,2012,회색,165708,자동,휘발유,중형차,0,전륜,0,0,국산차
기아 포르테,기아,포르테,690,1591,2011,다크그레이색,59191,자동,휘발유,준중형차,0,전륜,0,0,국산차
아우디 A6(C8),아우디,A6,5490,1984,2020,흰색,3389,자동,휘발유,중형차,0,후륜,0,0,외제차
기아 더뉴K5 2세대,기아,K5,1150,1999,2019,진주색,177000,자동,휘발유,중형차,0,후륜,1,0,국산차
쌍용 코란도투리스모,쌍용,코란도,630,1998,2014,0색,147084,자동,경유,SUV,0,후륜,1,0,국산차
기아 K5 하이브리드,기아,K5,730,1999,2014,검정색,176400,자동,하이브리드,중형차,0,후륜,0,0,국산차
현대 아반떼HD,현대,아반떼,350,1591,2010,흰색,189909,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 더뉴아반떼AD,현대,아반떼,1630,1598,2020,흰색,29561,자동,휘발유,준중형차,0,전륜,1,0,국산차
기아 포르테쿱,기아,포르테,450,1591,2011,빨강색,80738,자동,휘발유,준중형차,0,전륜,1,0,국산차
쌍용 체어맨W,쌍용,체어맨,780,3199,2013,0색,174026,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 더뉴맥스크루즈,현대,크루즈,1950,2199,2016,검정색,83704,자동,경유,준중형차,0,후륜,0,0,국산차
기아 레이,기아,레이,590,998,2012,민트색,180000,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 올뉴모닝,기아,모닝,550,998,2012,베이지색,44000,자동,휘발유,경차,0,전륜,1,0,국산차
기아 레이,기아,레이,830,998,2012,은색,88000,자동,휘발유,SUV,0,전륜,0,0,국산차
벤츠 뉴E클래스,벤츠,E클래스,970,2996,2011,은색,159650,자동,휘발유,중형차,0,후륜,0,0,외제차
쉐보레/대우 알페온,쉐보레,알페온,450,2997,2012,검정색,203158,자동,휘발유,대형차,0,전륜,1,0,국산차
현대 스타렉스밴,현대,스타렉스,340,2972,2003,회색,156138,수동,LPG,승합차,0,후륜,0,0,국산차
벤츠 E클래스(W213),벤츠,E클래스,3040,1950,2017,회색,163574,자동,경유,중형차,0,후륜,0,0,외제차
현대 싼타페DM,현대,싼타페,1250,1995,2015,검정색,186247,자동,경유,SUV,0,전륜,0,0,국산차
현대 엑센트(신형),현대,엑센트,430,1591,2011,은색,88866,자동,휘발유,소형차,0,전륜,1,0,국산차
현대 제네시스,현대,제네시스,460,3342,2011,검정색,249788,자동,휘발유,대형차,0,후륜,0,0,국산차
현대 싼타페DM,현대,싼타페,1700,1995,2015,검정색,71797,자동,경유,SUV,0,전륜,0,0,국산차
현대 코나,현대,코나,1790,1591,2018,흰색,21281,자동,휘발유,SUV,0,전륜,1,0,국산차
르노삼성 SM6,르노삼성,SM6,890,1998,2017,다크그레이색,139798,자동,LPG,중형차,0,전륜,0,0,국산차
현대 싼타페더프라임,현대,싼타페,1690,1995,2016,검정색,150462,자동,경유,SUV,0,전륜,0,0,국산차
현대 LF쏘나타,현대,쏘나타,1150,1999,2015,검정색,87718,자동,LPG,중형차,0,전륜,0,0,국산차
벤츠 B클래스,벤츠,B클래스,590,0,2011,흰색,150678,자동,휘발유,준중형차,0,전륜,1,0,외제차
현대 포터2,현대,포터,390,2497,2010,흰색,205505,수동,경유,화물차,0,후륜,0,0,국산차
기아 포르테쿱,기아,포르테,399,1998,2010,흰색,132040,수동,휘발유,준중형차,0,전륜,1,0,국산차
기아 K3,기아,K3,630,1591,2014,흰색,160000,자동,휘발유,준중형차,0,전륜,1,0,국산차
아우디 뉴A6,아우디,A6,1750,1968,2016,흰색,163238,자동,경유,중형차,0,후륜,0,0,외제차
쌍용 티볼리,쌍용,티볼리,870,1597,2015,흰색,176562,자동,휘발유,SUV,0,후륜,0,0,국산차
쉐보레/대우 더넥스트스파크,쉐보레,스파크,680,999,2016,하늘색,128862,자동,휘발유,경차,0,전륜,0,0,국산차
벤츠 C클래스(W205),벤츠,C클래스,1590,1598,2016,검정색,214215,자동,경유,준중형차,0,후륜,0,0,외제차
현대 아반떼MD,현대,아반떼,520,1591,2011,회색,90891,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 팰리세이드,현대,팰리세이드,3040,3778,2020,검정색,104937,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 그랜저IG,현대,그랜저,1780,2199,2017,검정색,123967,자동,경유,대형차,0,전륜,1,0,국산차
현대 벨로스터(JS),현대,벨로스터,1290,1591,2018,다크그레이색,36344,수동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더뉴모닝,기아,모닝,570,998,2016,흰색,70846,자동,휘발유,경차,0,전륜,0,0,국산차
렉서스 IS,렉서스,IS,620,2500,2006,은색,114348,자동,휘발유,준중형차,0,후륜,0,0,외제차
볼보 V90,볼보,V90,4400,1969,2017,흰색,50884,자동,경유,대형차,0,4륜,0,0,외제차
기아 셀토스,기아,셀토스,2380,1591,2020,검정색,20375,자동,휘발유,SUV,0,전륜,0,0,국산차
BMW 3시리즈(F30),BMW,3시리즈,1770,1995,2013,청색,157913,자동,경유,준중형차,0,후륜,1,0,외제차
BMW 3시리즈(F30),BMW,3시리즈,1600,1995,2015,쥐색,78582,자동,경유,준중형차,0,후륜,1,0,외제차
재규어 XF(1세대),재규어,XF,1350,2200,2013,흰색,75738,자동,경유,중형차,0,후륜,0,0,외제차
쌍용 렉스턴스포츠,쌍용,렉스턴,2350,2157,2018,쥐색,50887,자동,경유,SUV,0,후륜,0,0,국산차
기아 올뉴모닝,기아,모닝,590,998,2015,진주색,84698,자동,휘발유,경차,0,전륜,0,0,국산차
아우디 NEW A4,아우디,A4,300,2000,2007,흰색,73652,자동,휘발유,준중형차,0,전륜,0,0,외제차
기아 올뉴K7,기아,K7,1750,3342,2016,검정색,128551,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 K5 2세대,기아,K5,1590,1999,2017,검정색,62863,자동,휘발유,중형차,0,후륜,0,0,국산차
기아 더뉴쏘렌토,기아,쏘렌토,2060,1995,2020,다크그레이색,128738,자동,경유,SUV,0,후륜,0,0,국산차
쌍용 코란도C,쌍용,코란도,460,1998,2012,흰색,143934,자동,경유,SUV,0,후륜,1,0,국산차
아우디 NEW A4,아우디,A4,1080,1968,2016,검정색,73453,자동,경유,준중형차,0,전륜,1,0,외제차
현대 그랜저HG,현대,그랜저,840,2999,2014,검정색,164829,자동,휘발유,대형차,0,전륜,1,0,국산차
쉐보레/대우 더넥스트스파크,쉐보레,스파크,770,999,2018,흰색,31802,자동,휘발유,경차,0,전륜,0,0,국산차
르노삼성 뉴SM3(2세대),르노삼성,SM3,420,1596,2011,흰색,86978,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 카니발R,기아,카니발,790,2199,2013,흰색,186075,자동,경유,RV,0,후륜,0,0,국산차
쌍용 코란도스포츠,쌍용,코란도,1180,1998,2014,쥐색,103349,자동,경유,SUV,0,후륜,0,0,국산차
르노삼성 SM5뉴임프레션,르노삼성,SM5,210,1998,2008,은색,101887,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레/대우 스파크,쉐보레,스파크,310,995,2014,흰색,113975,자동,LPG,경차,0,전륜,1,0,국산차
르노삼성 SM3뉴제너레이션(1세대),르노삼성,레이,250,1596,2010,은색,126641,자동,휘발유,SUV,0,전륜,1,0,국산차
기아 뉴모닝,기아,모닝,260,999,2009,은색투톤,44760,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레/대우 마티즈크리에이티브,쉐보레,마티즈,260,995,2010,하늘색,65684,자동,휘발유,경차,0,전륜,0,0,국산차
기아 쏘울,기아,쏘울,490,1591,2011,진주색,141916,자동,휘발유,준중형차,0,후륜,0,0,국산차
르노삼성 뉴SM3(2세대),르노삼성,SM3,200,1596,2010,흰색,187929,자동,휘발유,준중형차,0,전륜,0,0,국산차
기아 더뉴모닝,기아,모닝,710,998,2016,흰색,64717,자동,휘발유,경차,0,전륜,0,0,국산차
쌍용 더뉴렉스턴스포츠 칸,쌍용,렉스턴,3290,2157,2021,다크블루색,4541,자동,경유,SUV,0,후륜,0,0,국산차
현대 아반떼AD,현대,아반떼,1140,1582,2016,흰색,119063,자동,경유,준중형차,0,전륜,0,0,국산차
쌍용 티볼리,쌍용,티볼리,1050,1597,2016,빨강색,97441,자동,경유,SUV,0,후륜,0,0,국산차
현대 더뉴그랜드스타렉스,현대,스타렉스,2240,2497,2018,검정색,97488,자동,경유,승합차,0,후륜,0,0,국산차
현대 더뉴아반떼AD,현대,아반떼,1750,1591,2019,흰색,71062,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 그랜저HG,현대,그랜저,1240,2359,2016,흰색,176508,자동,휘발유,대형차,0,전륜,0,0,국산차
쌍용 티볼리,쌍용,티볼리,870,1597,2015,흰색,176562,자동,휘발유,SUV,0,후륜,0,0,국산차
쉐보레/대우 더넥스트스파크,쉐보레,스파크,680,999,2016,하늘색,128862,자동,휘발유,경차,0,전륜,0,0,국산차
벤츠 C클래스(W205),벤츠,C클래스,1590,1598,2016,검정색,214215,자동,경유,준중형차,0,후륜,0,0,외제차
현대 아반떼MD,현대,아반떼,520,1591,2011,회색,90891,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 팰리세이드,현대,팰리세이드,3040,3778,2020,검정색,104937,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 그랜저IG,현대,그랜저,1780,2199,2017,검정색,123967,자동,경유,대형차,0,전륜,1,0,국산차
현대 벨로스터(JS),현대,벨로스터,1290,1591,2018,다크그레이색,36344,수동,휘발유,준중형차,0,전륜,0,0,국산차
